feature,importance
labor_income_share_pct,0.30645317
labor_income_share_pct_ma3,0.1806931
gini_index,0.11907382
gini_index_lag1,0.07313609
ai_exp_region_ECS,0.05828641
region_ECS,0.042637773
social_buffer_index,0.02793352
income_INX,0.01673667
gini_index_lag3,0.015326924
health_expenditure_pct_gdp,0.012533712
social_buffer_index_ma3,0.011806406
region_SSF,0.009542777
labor_income_share_pct_lag1,0.009103955
income_LMC,0.008590853
ai_exposure_proxy,0.007420076
region_LCN,0.006115359
ai_exposure_proxy_ma3,0.0060993447
education_expenditure_pct_gdp,0.005781905
tech_vulnerability_index,0.005661163
inequality_adjusted_income,0.0048493496
social_protection_spending,0.004621823
employment_share_agriculture,0.0043544057
ai_exp_region_MEA,0.004011338
ai_governance_readiness,0.003393909
digital_human_capital,0.0032614989
ai_exp_region_LCN,0.0029133132
employment_share_services,0.0026690392
gdp_per_person_employed,0.0026339523
ai_exp_region_SSF,0.0023727748
ai_exp_region_EAS,0.002205929
income_UMC,0.002033097
ai_readiness_score,0.001990034
govt_ai_strategy_score,0.001885602
income_LIC,0.0018472595
employment_share_services_lag3,0.0017817118
human_capital_index,0.0017684227
employment_share_services_lag1,0.0017215746
labor_market_stress_ma3,0.001703516
labor_market_stress,0.0016879339
working_poverty_rate,0.0014273826
region_SAS,0.0014070064
ai_patents_count,0.0012212049
region_MEA,0.0010835886
youth_lfp_rate,0.0010304529
employment_share_industry,0.0010086794
govt_expenditure_pct_gdp,0.0010053464
trade_openness_pct_gdp,0.0009126449
economic_resilience,0.0009113143
gdp_per_capita_usd_ma3,0.00088117743
ai_investment_usd_mn,0.00085794023
employment_to_pop_ratio,0.00082389725
gdp_per_capita_usd_lag1,0.000807454
unemployment_rate_lag3,0.0007717543
rd_expenditure_pct_gdp,0.00075009937
region_EAS,0.00074267987
labor_force_participation,0.0006568415
gdp_per_capita_usd_lag3,0.00064854784
unemployment_rate_lag1,0.0006231421
ai_readiness_score_lag3,0.0005581668
unemployment_rate_ma3,0.00054494233
ai_readiness_score_lag1,0.0005247711
wage_volatility,0.0004428038
gdp_per_capita_usd,0.00044011732
youth_unemployment_rate,0.0004009888
inflation_cpi_pct,0.0003892301
employment_volatility,0.00034436875
labor_income_share_pct_lag3,0.00032986215
ai_exp_region_SAS,0.00026691766
unemployment_rate,0.00025898404
ai_exp_region_NAC,0.00023756958
gdp_growth_volatility,0.000219387
gdp_growth_pct_lag1,0.00018423723
inflation_volatility,0.00017995143
income_HIC,0.0001607274
gdp_growth_pct,0.00013746067
gdp_growth_pct_lag3,0.00013449283
region_NAC,3.430476e-05
