dependent_var,regressor,coef,std_err,t_stat,p_value,significant,r2_within,n_obs,n_entities,model
labor_income_share_pct,ai_exposure_proxy,-0.019164,0.0595,-0.322092,0.747394,,0.0449,6774,264,TWFE
labor_income_share_pct,tech_vulnerability_index,0.010292,0.06572,0.156606,0.87556,,0.0449,6774,264,TWFE
labor_income_share_pct,social_buffer_index,0.264108,0.077268,3.418103,0.000634,***,0.0449,6774,264,TWFE
labor_income_share_pct,human_capital_index,0.106101,0.065884,1.610432,0.107352,,0.0449,6774,264,TWFE
labor_income_share_pct,economic_resilience,1.154488,1.525842,0.756624,0.449303,,0.0449,6774,264,TWFE
labor_income_share_pct,gini_index,-0.020817,0.026122,-0.796905,0.425535,,0.0449,6774,264,TWFE
labor_income_share_pct,gdp_growth_pct,-0.053507,0.018715,-2.859024,0.004263,***,0.0449,6774,264,TWFE
labor_income_share_pct,trade_openness_pct_gdp,-0.008445,0.005886,-1.434815,0.151388,,0.0449,6774,264,TWFE
labor_income_share_pct,govt_expenditure_pct_gdp,-0.001318,0.01326,-0.099363,0.920853,,0.0449,6774,264,TWFE
unemployment_rate,ai_exposure_proxy,0.005451,0.056387,0.096679,0.922984,,0.0583,6774,264,TWFE
unemployment_rate,tech_vulnerability_index,0.028464,0.06105,0.466242,0.641058,,0.0583,6774,264,TWFE
unemployment_rate,social_buffer_index,0.022567,0.034909,0.64646,0.518004,,0.0583,6774,264,TWFE
unemployment_rate,human_capital_index,-0.106844,0.056099,-1.904567,0.056881,*,0.0583,6774,264,TWFE
unemployment_rate,economic_resilience,-2.949582,0.784788,-3.758444,0.000172,***,0.0583,6774,264,TWFE
unemployment_rate,gini_index,0.003372,0.019093,0.176603,0.859826,,0.0583,6774,264,TWFE
unemployment_rate,gdp_growth_pct,-0.014087,0.009042,-1.557892,0.119308,,0.0583,6774,264,TWFE
unemployment_rate,trade_openness_pct_gdp,0.005557,0.003967,1.400676,0.161359,,0.0583,6774,264,TWFE
unemployment_rate,govt_expenditure_pct_gdp,0.032636,0.007674,4.252628,2.1e-05,***,0.0583,6774,264,TWFE
labor_market_stress,ai_exposure_proxy,0.142857,0.082706,1.727283,0.084165,*,0.113,6774,264,TWFE
labor_market_stress,tech_vulnerability_index,-0.214149,0.105857,-2.023006,0.043114,**,0.113,6774,264,TWFE
labor_market_stress,social_buffer_index,-0.060704,0.044342,-1.369,0.171047,,0.113,6774,264,TWFE
labor_market_stress,human_capital_index,0.042219,0.098148,0.43016,0.667093,,0.113,6774,264,TWFE
labor_market_stress,economic_resilience,-6.447912,1.266335,-5.09179,0.0,***,0.113,6774,264,TWFE
labor_market_stress,gini_index,0.099602,0.025519,3.903099,9.6e-05,***,0.113,6774,264,TWFE
labor_market_stress,gdp_growth_pct,-0.028212,0.012449,-2.266265,0.023468,**,0.113,6774,264,TWFE
labor_market_stress,trade_openness_pct_gdp,0.019854,0.005513,3.600978,0.000319,***,0.113,6774,264,TWFE
labor_market_stress,govt_expenditure_pct_gdp,0.034669,0.010966,3.161379,0.001577,***,0.113,6774,264,TWFE
